Ticker,Date,Open,High,Low,Close,Volume
AAPL,2024-01-02,180.12,183.45,178.92,181.33,81230000
AAPL,2024-01-03,181.44,183.69,180.07,182.54,77310000
AAPL,2024-01-04,182.64,184.12,181.04,183.02,70980000
AAPL,2024-01-05,183.66,184.40,181.96,183.70,65460000
AAPL,2024-01-08,183.70,184.23,181.52,182.91,62040000
AAPL,2024-01-09,183.10,184.74,182.40,184.13,59370000
AAPL,2024-01-10,184.20,185.28,183.10,184.76,57520000
AAPL,2024-01-11,184.75,186.22,184.03,185.51,58210000
AAPL,2024-01-12,185.70,186.10,183.93,184.42,61130000
AAPL,2024-01-16,184.65,185.82,183.50,185.01,56670000
AAPL,2024-01-17,184.88,186.12,184.08,185.78,54810000
AAPL,2024-01-18,185.98,187.10,184.70,186.51,52460000
AAPL,2024-01-19,186.80,188.05,185.90,187.92,51020000
AAPL,2024-01-22,188.10,189.35,187.20,188.44,49940000
AAPL,2024-01-23,188.62,189.90,187.70,189.11,48760000
AAPL,2024-01-24,189.25,190.15,188.40,189.84,47010000
AAPL,2024-01-25,190.00,191.15,189.10,191.02,46270000
AAPL,2024-01-26,191.20,192.40,190.30,191.95,45530000
AAPL,2024-01-29,192.05,193.10,191.10,192.72,44380000
AAPL,2024-01-30,192.90,193.60,191.80,193.02,43240000
AAPL,2024-01-31,193.18,194.00,192.32,193.76,42690000
AAPL,2024-02-01,193.96,194.80,193.00,194.38,41970000
AAPL,2024-02-02,194.43,195.19,193.61,194.91,40690000
AAPL,2024-02-05,195.05,195.90,194.26,195.50,39950000
AAPL,2024-02-06,195.55,196.05,194.70,195.86,39070000
AAPL,2024-02-07,195.97,196.78,195.20,196.32,38200000
AAPL,2024-02-08,196.50,197.25,195.90,197.02,37460000
AAPL,2024-02-09,197.10,198.05,196.45,197.78,36870000
AAPL,2024-02-12,198.05,198.80,197.15,198.12,36230000
AAPL,2024-02-13,198.41,199.20,197.90,198.90,35740000
AAPL,2024-02-14,199.02,199.74,198.30,199.43,35060000
AAPL,2024-02-15,199.65,200.48,198.98,200.19,34420000
AAPL,2024-02-16,200.33,201.12,199.67,200.82,33980000
